Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1713391997.99,0,0,38.5,2.0,4.0,4.0,27.90353515625,41.641888952488735,1004.572399938503,72.49874889416583,373584.0
1713391999.96,0,0,43.0,2.0,4.0,4.0,27.9930859375,41.384278446694026,1004.5784340006464,72.44816022047002,378960.5
1713392001.98,0,0,43.0,2.0,4.0,4.0,28.0579296875,41.155823647969605,1004.5771365243747,72.4590380397982,382069.0
1713392003.97,0,0,34.5,2.0,4.0,4.0,28.10255859375,40.945455952977696,1004.5820124636724,72.41815904407764,386425.5
1713392005.99,0,0,44.5,2.0,4.0,4.0,28.13185546875,40.793823331998475,1004.5790995019665,72.44258079296877,388646.5
1713392007.93,0,0,41.5,2.0,4.0,4.0,28.13185546875,40.793823331998475,1004.5790995019665,72.44258079296877,388646.5
1713392010.0,0,0,45.0,2.0,4.0,4.0,28.15109375,40.672714843111656,1004.5789367514232,72.44394526373905,391344.5
1713392011.95,0,0,45.0,2.0,4.0,4.0,28.16095703125,40.576415710447996,1004.5869316355472,72.37691776368328,394077.5
1713392013.99,0,0,38.5,2.0,4.0,4.0,28.16623046875,40.508285635630656,1004.5872411955074,72.37432251195622,395689.0
1713392015.96,0,0,33.5,2.0,4.0,4.0,28.16662109375,40.44822386170006,1004.588747269398,72.36169591176167,397670.5
1713392017.99,0,0,42.0,3.0,4.0,4.0,28.16310546875,40.40777490417915,1004.5922329821735,72.3324726560796,400368.5
1713392019.98,0,0,42.0,3.0,4.0,4.0,28.16466796875,40.379341785154246,1004.5948492323698,72.31053867524002,403953.5
1713392021.99,0,0,29.5,3.0,4.0,4.0,28.16544921875,40.34510740554682,1004.5936012868983,72.32100112203273,406260.0
1713392023.97,0,0,47.0,3.0,4.0,4.0,28.161738281250003,40.31895932328069,1004.5890917701438,72.35880772392329,406744.5
1713392025.99,0,0,37.0,3.0,4.0,4.0,28.15763671875,40.30420881429244,1004.5856322021957,72.38781191525783,409577.5
1713392027.97,0,0,32.0,3.0,4.0,4.0,28.15490234375,40.30104670160874,1004.5802017949004,72.43333935043333,411444.0
1713392029.99,0,0,32.0,2.0,4.0,4.0,28.1555859375,40.27825217479628,1004.5864584540077,72.38088484060953,409700.0
1713392031.96,0,0,39.0,2.0,4.0,4.0,28.1524609375,40.29791728492574,1004.5854859816195,72.38903781817194,411951.0
1713392033.99,0,0,36.0,2.5,4.0,4.0,28.14962890625,40.29474459333328,1004.5798920340499,72.4359363241634,413960.5
1713392035.96,0,0,45.0,2.5,4.0,4.0,28.150996093750003,40.314909519146354,1004.577069235901,72.45960221799581,415102.5
1713392037.99,0,0,39.5,3.0,4.0,4.0,28.15509765625,40.315364080476364,1004.5916049366322,72.33773798833579,415356.5
1713392039.97,0,0,39.5,3.0,4.0,4.0,28.15861328125,40.32433169449289,1004.5855633342768,72.38838929656617,415739.5
1713392041.99,0,0,42.0,3.0,4.0,4.0,28.162617187499997,40.33049454037067,1004.5769311112863,72.4607601892864,417794.5
1713392043.97,0,0,42.0,3.0,4.0,4.0,28.1673046875,40.35103261636627,1004.5762594724818,72.46639113069844,417021.0
1713392046.0,0,0,38.5,2.5,4.0,4.0,28.1727734375,40.377381040316436,1004.5717836316421,72.50391591347174,415743.0
1713392047.95,0,0,38.5,2.5,4.0,4.0,28.175800781249997,40.400602066085085,1004.5742963341958,72.48284976282326,416510.5
1713392049.99,0,0,42.5,2.0,4.0,4.0,28.17990234375,40.41536224529878,1004.5803117037249,72.43241795632468,418447.0
1713392051.97,0,0,39.0,2.0,4.0,4.0,28.1837109375,40.40720203638914,1004.5866885923205,72.37895542617,421565.5
1713392053.99,0,0,46.5,2.0,3.0,3.0,28.187421875,40.39617053716162,1004.5894937724381,72.35543741401501,419217.5
1713392055.94,0,0,41.0,2.0,3.0,3.0,28.187421875,40.39617053716162,1004.5894937724381,72.35543741401501,419217.5
1713392057.97,0,0,41.0,2.0,3.0,3.5,28.189765625,40.37354600056101,1004.5874536326623,72.37254145798148,421435.0
1713392059.97,0,0,43.0,2.0,3.0,3.5,28.19015625,40.333548323832815,1004.58810766791,72.36705817752213,419216.0
1713392061.99,0,0,40.5,2.0,3.0,4.0,28.19123046875,40.305072599131584,1004.5847939382733,72.39483975600525,422487.0
1713392063.96,0,0,34.5,2.0,3.0,4.0,28.1925,40.26233041098928,1004.584363376161,72.39844954613685,425010.0
1713392066.0,0,0,38.0,2.0,3.0,3.0,28.194453125,40.233964102144874,1004.589337655897,72.3567462580771,424085.5
1713392067.94,0,0,38.0,2.0,3.0,3.0,28.19796875,40.21149013745748,1004.5926677707325,72.32882744054533,423146.5
1713392069.99,0,0,42.0,2.0,3.0,3.0,28.20158203125,40.2090322799357,1004.5850844766071,72.39240395964393,423677.0
1713392071.96,0,0,55.5,2.0,3.0,3.0,28.20529296875,40.22373198422255,1004.5827769890548,72.41174941562237,423147.0
1713392073.99,0,0,29.0,2.0,3.0,3.0,28.2065625,40.269605069562814,1004.5789380326518,72.44393450114828,424876.0
1713392075.95,0,0,29.0,2.0,3.0,3.0,28.2075390625,40.3411959298276,1004.5771647733401,72.45880120935469,425947.0
1713392077.99,0,0,46.5,1.5,2.5,2.5,28.2079296875,40.37270147967393,1004.5786708635628,72.44617441895927,428915.0
1713392079.97,0,0,41.0,1.5,2.5,2.5,28.20578125,40.34958083525099,1004.5810382880014,72.42632634411638,429048.0
1713392081.99,0,0,43.0,0.5,2.0,2.0,28.201875,40.303393036136455,1004.5727939591332,72.49544546238893,430008.0
1713392083.97,0,0,41.0,0.5,2.0,2.0,28.1958203125,40.259839948419874,1004.5711772789077,72.50899949831862,430691.5
1713392086.0,0,0,41.0,1.0,3.0,3.0,28.188203125,40.23612999721941,1004.5737608222607,72.48733941519939,434844.0
1713392087.96,0,0,39.5,1.0,3.0,3.0,28.18771484375,40.2246444938863,1004.5780555889585,72.45133276559548,434140.5
1713392090.0,0,0,34.0,1.0,2.0,2.0,28.18830078125,40.24185714668451,1004.582444843865,72.41453405407802,435957.0
1713392091.97,0,0,46.0,1.0,2.0,2.0,28.1880078125,40.25897413967563,1004.5742858600586,72.48293757493907,434280.5
1713392093.97,0,0,30.5,1.0,2.0,2.0,28.18732421875,40.267473996694456,1004.5697331092151,72.52110724450343,436098.0
1713392095.97,0,0,30.5,1.0,2.0,2.0,28.18625,40.26163833111686,1004.5807152638164,72.42903451846371,436804.5
