Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1713396065.52,0,0,35.5,1.0,2.0,4.0,26.19044921875,47.23325805660612,998.7147151303625,121.72514874663453,513527.5
1713396067.49,0,0,38.0,1.0,2.0,4.0,26.29103515625,46.91637848538395,998.7211907558092,121.67060037658256,512745.5
1713396069.49,0,0,38.0,1.0,2.0,4.0,26.29103515625,46.91637848538395,998.7211907558092,121.67060037658256,512745.5
1713396071.49,0,0,43.0,1.0,2.0,4.0,26.37150390625,46.5856678179381,998.7263402061171,121.6272234798817,513331.5
1713396073.52,0,0,37.0,1.0,2.0,4.0,26.43224609375,46.30628248679788,998.7333846557192,121.56788412229736,512745.0
1713396075.49,0,0,36.5,1.0,2.0,4.0,26.48146484375,46.079009197212606,998.7398820528884,121.51315322476688,515674.5
1713396077.5,0,0,36.5,1.0,2.0,4.0,26.524531250000003,45.94559523364397,998.7429039243713,121.48769854885693,517054.0
1713396079.49,0,0,36.0,1.0,2.0,4.0,26.56095703125,45.84388286697235,998.7433379620387,121.48404245320361,518846.5
1713396081.53,0,0,39.5,1.0,2.0,4.0,26.59328125,45.74761712091973,998.7420231802364,121.49511747285172,523454.5
1713396083.49,0,0,40.0,1.0,2.0,4.0,26.62189453125,45.67450279992431,998.7447117083,121.47247074778849,523259.0
1713396085.52,0,0,39.5,1.0,2.0,4.0,26.648066406250003,45.71596000240973,998.7433245777286,121.48415520640947,526916.5
1713396087.47,0,0,39.5,1.0,2.0,4.0,26.67287109375,45.780836186322446,998.740503831259,121.50791568642438,523452.0
1713396089.52,0,0,44.0,1.0,2.5,4.5,26.6971875,45.854524555754395,998.7368657171504,121.53856133101924,528149.0
1713396091.5,0,0,42.0,1.0,2.5,4.5,26.720625,45.89865154191191,998.7419584687373,121.49566259936748,522240.0
1713396093.53,0,0,44.5,1.0,3.0,5.0,26.740351562500003,45.88630554432262,998.7425598947423,121.49059649680406,525289.5
1713396095.49,0,0,39.5,1.0,3.0,5.0,26.757343749999997,45.82350806222095,998.7326492533502,121.57407886061443,525900.0
1713396097.55,0,0,39.5,1.0,3.0,5.0,26.77775390625,45.737573673002956,998.72928706726,121.60240037989323,527532.0
1713396099.49,0,0,35.5,1.0,3.0,5.0,26.7989453125,45.5928779384238,998.7374265168249,121.53383746701013,525081.5
1713396101.53,0,0,43.5,1.0,2.5,4.5,26.819453125000003,45.454096430097096,998.739323879307,121.517855007139,526917.5
1713396103.49,0,0,38.5,1.0,2.5,4.5,26.8391796875,45.31826074159207,998.7467176727572,121.4555736187011,525101.5
1713396105.53,0,0,41.0,1.0,2.0,4.0,26.85861328125,45.21186737430166,998.7612729503458,121.33296888785769,527122.0
1713396107.47,0,0,41.0,1.0,2.0,4.0,26.876875,45.108327839431425,998.76452125417,121.3056072501245,527326.5
1713396109.52,0,0,37.5,1.0,2.0,4.0,26.8940625,45.00765144012768,998.7600256207046,121.34347549266809,526096.5
1713396111.49,0,0,38.5,1.0,2.0,4.0,26.9094921875,44.92735063975921,998.7542977343611,121.39172359765658,528768.5
1713396113.52,0,0,36.5,1.0,2.0,4.0,26.9235546875,44.826399346796705,998.751390119255,121.416215633904,530224.5
1713396115.49,0,0,36.5,1.0,2.0,4.0,26.93498046875,44.634389514615435,998.7585390420777,121.35599745640505,532514.0
1713396117.52,0,0,43.0,1.0,2.0,4.0,26.94396484375,44.363334215289406,998.7616166846988,121.33007339506987,536735.5
1713396119.47,0,0,51.5,1.0,2.0,4.0,26.94396484375,44.363334215289406,998.7616166846988,121.33007339506987,536735.5
1713396121.52,0,0,45.5,1.0,2.0,4.0,26.953046875,44.11022333780713,998.7614558323435,121.33142834269505,535470.0
1713396123.49,0,0,38.0,1.0,2.0,4.0,26.95958984375,43.900911420902794,998.7689647755547,121.26817813404065,539947.5
1713396125.52,0,0,38.0,1.0,2.0,4.0,26.96359375,43.77312177358696,998.7679885230514,121.27640135873497,541459.0
1713396127.49,0,0,43.0,1.0,2.0,4.0,26.9723828125,43.74501637286389,998.7647875617326,121.30336405596488,537802.0
1713396129.51,0,0,35.5,1.0,2.0,4.0,26.98107421875,43.76351704092106,998.7656748746217,121.29588992600861,540165.5
1713396131.49,0,0,35.0,1.0,2.0,4.0,26.98810546875,43.787653596913174,998.7595421825345,121.34754767925327,542986.0
1713396133.52,0,0,32.5,1.0,2.0,3.0,26.9954296875,43.77977100085481,998.7581492476227,121.35928083702765,541895.5
1713396135.47,0,0,32.5,1.0,2.0,3.0,27.004511718750003,43.745871222505286,998.7588365638295,121.35349139161843,539731.5
1713396137.52,0,0,39.0,1.0,2.0,3.0,27.01505859375,43.747108460958756,998.7568638418729,121.37010828290958,542548.0
1713396139.49,0,0,39.0,1.0,2.0,3.0,27.02560546875,43.75708722429535,998.7591423530996,121.35091559477189,543430.0
1713396141.52,0,0,44.5,1.0,2.0,3.0,27.03439453125,43.775602975436115,998.7644423171191,121.30627217886152,540595.0
1713396143.49,0,0,44.5,1.0,2.0,3.0,27.04318359375,43.79703483394016,998.7561358722155,121.37624038308948,541031.0
1713396145.52,0,0,44.0,1.0,2.0,3.0,27.0501171875,43.79784917489982,998.7481369676036,121.44361830113448,541676.0
1713396147.49,0,0,42.5,1.0,2.0,3.0,27.05607421875,43.848106642173725,998.7376591318039,121.53187799678922,544947.5
