Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1713996008.42,0,0,40.5,1.0,2.0,2.0,22.64953125,44.72779750858088,1008.9223587250643,36.0930351080682,133644.5
1713996010.39,0,0,51.0,1.0,2.0,2.0,22.7239453125,44.593701856631,1008.9375407038344,35.96619675865587,120319.0
1713996012.45,0,0,51.0,1.0,2.0,2.0,22.78107421875,44.41408029474397,1008.9479738267762,35.879033672229355,116410.0
1713996014.36,0,0,44.5,1.0,2.0,2.0,22.78107421875,44.41408029474397,1008.9479738267762,35.879033672229355,116410.0
1713996016.42,0,0,53.0,1.0,2.0,2.0,22.82306640625,44.25903646282163,1008.951386863057,35.85051978732861,115301.5
1713996018.39,0,0,45.5,1.0,2.0,2.0,22.85490234375,44.108764085531426,1008.9409956810408,35.93733217246767,116691.0
1713996020.4,0,0,45.5,1.0,2.0,2.0,22.882734375,43.99586275537937,1008.9483407791844,35.875968026098484,118404.5
1713996022.39,0,0,57.0,1.0,2.0,2.0,22.906953125,43.90871434557401,1008.9453453507977,35.90099308009499,121336.0
1713996024.42,0,0,53.5,1.0,2.0,2.0,22.9294140625,43.821406011479965,1008.947827836362,35.880253353368495,124410.5
1713996026.39,0,0,46.5,1.0,2.0,2.0,22.94953125,43.75994588737224,1008.9446537903029,35.90677070984944,127504.5
1713996028.42,0,0,52.0,1.0,2.0,2.0,22.96828125,43.689658602264075,1008.944238120408,35.91024344544141,130793.0
1713996030.37,0,0,52.0,1.0,2.0,2.0,22.986640625,43.65120087868178,1008.9558416195532,35.81330306858801,135399.0
1713996032.42,0,0,56.0,1.0,2.0,2.0,23.003535156250003,43.627059129630204,1008.9615852963593,35.76531848792085,139069.5
1713996034.39,0,0,41.0,1.0,2.0,2.0,23.02140625,43.59145278797891,1008.9647520345633,35.738862486990975,143059.5
1713996036.42,0,0,46.0,1.0,2.0,2.0,23.037421875,43.56721792627073,1008.9698528610793,35.6962487419315,147546.5
1713996038.4,0,0,42.0,1.0,2.0,2.0,23.05373046875,43.53723179163184,1008.9703750847236,35.69188592704105,151711.0
1713996040.43,0,0,42.0,1.0,1.5,1.5,23.06994140625,43.51013153090108,1008.9631212177844,35.752486845523144,156187.5
1713996042.4,0,0,49.5,1.0,1.5,1.5,23.0876171875,43.48609380567744,1008.9625705364662,35.7570874011474,160627.0
1713996044.42,0,0,43.5,1.0,1.0,1.0,23.1055859375,43.45630634085575,1008.9650505914615,35.73636825160766,164605.5
1713996046.39,0,0,47.0,1.0,1.0,1.0,23.12306640625,43.42646774548802,1008.9658581098982,35.72962200253966,169130.5
1713996048.43,0,0,47.0,1.0,1.0,1.0,23.13908203125,43.41092657871667,1008.9641874727936,35.743579009143446,173297.5
1713996050.37,0,0,47.0,1.0,1.0,1.0,23.1559765625,43.389702383876454,1008.9614647610335,35.7663254590783,177175.5
1713996052.42,0,0,47.0,1.0,1.0,1.0,23.17404296875,43.38017807516411,1008.9683329999939,35.70894609827883,181644.0
1713996054.4,0,0,51.0,1.0,1.0,1.0,23.188984374999997,43.355844872988584,1008.9656881377816,35.73104205018428,185417.5
1713996056.42,0,0,54.5,1.0,1.0,1.0,23.20353515625,43.334360804598305,1008.9606902150866,35.77279624219648,188859.5
1713996058.37,0,0,54.5,1.0,1.0,1.0,23.22052734375,43.33049852583636,1008.947978605292,35.87899377449765,193404.5
1713996060.42,0,0,47.5,1.0,1.0,1.0,23.236835937499997,43.314996302310576,1008.9408753625557,35.93833737433274,197770.5
1713996062.39,0,0,44.5,1.0,1.0,1.0,23.250605468750003,43.296317818951835,1008.944701939929,35.906368412546286,202966.5
1713996064.39,0,0,52.0,1.0,1.0,1.0,23.250605468750003,43.296317818951835,1008.944701939929,35.906368412546286,202966.5
1713996066.39,0,0,45.0,1.0,1.0,1.0,23.26017578125,43.28583741666662,1008.9439660251503,35.912516580078716,207573.5
1713996068.43,0,0,45.0,1.0,1.0,1.0,23.2659375,43.280707482733234,1008.9410199065387,35.93712978842336,212134.5
1713996070.39,0,0,56.5,1.0,1.0,1.0,23.273457031249997,43.26710625374519,1008.9444284780423,35.90865303296687,217115.5
1713996072.42,0,0,59.0,0.0,0.0,1.0,23.277460937500003,43.26466825287896,1008.9410477061397,35.936897528347515,219979.5
