Time,PM25,PM10,Temperature,Humidity,Pressure
1707952910.465959,0,0,33.9024609375,100,690.817393097857
1707952911.4809968,0,0,22.774140625,50.76034883306082,1004.8542877202907
1707952912.4922354,0,0,22.78625,50.657840356533626,1004.8396036480173
1707952913.503415,0,0,22.8059765625,50.513549947542266,1004.8304452825661
1707952914.5145745,0,0,22.827265625,50.37567513568668,1004.8255509395026
1707952915.5260422,0,0,22.849140625,50.23797251783658,1004.8319338954576
1707952916.5393198,0,0,22.86828125,50.112224441681406,1004.8286979807538
1707952917.552536,0,0,22.884296875,49.99835888915884,1004.828974288575
1707952918.5667007,0,0,22.8981640625,49.90866670181815,1004.8223077214767
1707952919.5815992,0,0,22.910078125,49.824862345643155,1004.8176215008184
1707952920.5949285,0,0,22.92140625,49.74102108309273,1004.8240273021067
1707952921.608319,0,0,22.9313671875,49.68139149612885,1004.8230425023986
1707952922.6215677,0,0,22.94015625,49.60337929098819,1004.827032715437
1707952923.6348162,0,0,22.9477734375,49.56174726604384,1004.8273927132748
1707952924.6481485,0,0,22.9565625,49.489864827418,1004.8296613127515
1707952925.661526,0,0,22.96359375,49.442104845103685,1004.8307875289056
1707952926.6747532,0,0,22.96984375,49.38210453886035,1004.8306410008114
1707952927.6873252,0,0,22.974140625,49.358334117477945,1004.8324764868698
1707952928.7006755,0,0,22.97921875,49.32251335215082,1004.8355844556238
1707952929.7139106,1,1,22.9837109375,49.29877463816559,1004.8411803657145
1707952930.7272427,1,1,22.9880078125,49.250721602228424,1004.8344096156221
1707952931.740537,1,1,22.9926953125,49.2452331484632,1004.8351598635853
1707952932.7538936,1,1,22.996796875,49.209311886655165,1004.8332344006822
1707952933.7672708,1,1,22.999921875,49.19148761583023,1004.8297182112317
1707952934.7805572,1,1,23.003828125,49.17376226658231,1004.8257531808293
1707952935.7939198,1,1,23.0075390625,49.14387514061157,1004.8214699155699
1707952936.8072383,1,1,23.01125,49.13219868540803,1004.8189078172588
1707952937.8204684,1,1,23.0153515625,49.102366650181146,1004.822145721791
1707952938.835245,1,1,23.01828125,49.07846068424462,1004.8131471233828
1707952939.848574,1,1,23.0200390625,49.07261215480341,1004.8091249476824
1707952940.8617203,1,1,23.0223828125,49.048637108628284,1004.8146635922125
1707952941.8751674,1,1,23.0251171875,49.01864837332776,1004.8225597926307
1707952942.8900857,1,1,23.0270703125,49.0006962671864,1004.8222982937549
1707952943.9038248,1,1,23.028828125,48.9645305335533,1004.8234399873617
1707952944.9176574,1,1,23.0317578125,48.946704850828695,1004.8264903472842
1707952945.931597,1,1,23.0329296875,48.928662745356675,1004.8318416906128
1707952946.9459848,1,1,23.0352734375,48.90470625302735,1004.8322163741295
1707952947.96071,1,1,23.0378125,48.87471655129408,1004.8294664534728
1707952948.9739664,1,1,23.0395703125,48.86281401798057,1004.8288867497773
1707952949.9872913,1,1,23.042109375,48.85100904111075,1004.8209726753192
1707952951.0006142,1,1,23.0458203125,48.82723186066969,1004.8252953396295
1707952952.0139117,1,1,23.04875,48.797302943868125,1004.826624190452
1707952953.0272908,1,1,23.0524609375,48.797762441641666,1004.8378323669027
1707952954.0405874,1,2,23.0555859375,48.77997652677374,1004.8343151254415
1707952955.053948,1,2,23.058515625,48.80457025932318,1004.8390867146226
1707952956.067331,1,2,23.06125,48.780677719986,1004.8418187929988
1707952957.0807035,1,2,23.06359375,48.77491057316971,1004.8353075705598
1707952958.0939932,1,2,23.066328125,48.76919193646674,1004.8311539011203
1707952959.1081371,1,2,23.069453125,48.80592488977418,1004.8328006533571
1707952960.1231472,1,2,23.0716015625,48.80013276748023,1004.8242496997545
1707952961.1364627,1,2,23.0735546875,48.812491374668326,1004.8239877837614
1707952962.1502364,1,2,23.076484375,48.8189129988258,1004.8235948750427
1707952963.1651294,1,2,23.0782421875,48.82518970681413,1004.812686099275
1707952964.180014,1,2,23.080390625,48.83151507369258,1004.8092992608733
1707952965.1932518,1,2,23.08234375,48.84387609270463,1004.8038728299401
1707952966.206528,1,2,23.0844921875,48.82596414692619,1004.8108147176363
1707952967.2198052,1,2,23.087421875,48.82026814661186,1004.8087001237743
1707952968.2331133,1,2,23.088984375,48.82046175186532,1004.8043588858835
1707952969.2463715,0,2,23.0915234375,48.79048403275429,1004.8033295139221
1707952970.2596838,0,2,23.09328125,48.772528754573685,1004.8079137497291
1707952971.2730227,0,2,23.0962109375,48.766834223744574,1004.8161280023155
1707952972.286273,0,2,23.0993359375,48.75510711013044,1004.8126098154885
1707952973.2996426,0,2,23.101875,48.749364691319236,1004.8098588268953
1707952974.312857,0,2,23.104609375,48.74364660085262,1004.8125904347676
1707952975.3269343,0,2,23.106953125,48.71365684766507,1004.81468587223
1707952976.3401742,0,2,23.1094921875,48.71397097576904,1004.8102132379413
1707952977.353693,0,2,23.1110546875,48.708108889175456,1004.8127578611266
1707952978.3669784,0,2,23.1128125,48.702271134794444,1004.8138990196297
1707952979.3808143,0,2,23.1153515625,48.684420722488525,1004.8163124802729
1707952980.3940895,0,2,23.1175,48.68468641758069,1004.8198113338976
1707952981.4084826,0,2,23.1190625,48.68487965413938,1004.8223559565809
1707952982.4226456,0,2,23.12140625,48.67306073532187,1004.8296160294005
1707952983.435952,0,2,23.1239453125,48.67337469846112,1004.842358938451
1707952984.4508271,0,1,23.1255078125,48.67356791070634,1004.8483467572419
1707952985.4641805,0,1,23.128046875,48.6799362534897,1004.8542034324607
1707952986.4786646,0,1,23.131171875,48.68032273517808,1004.8644575732136
1707952987.4935918,0,1,23.1337109375,48.68063676088428,1004.8703143013755
