Time,Counts per Interval
1710973971.534996,20
1710973981.5429945,27
1710973991.553154,28
1710974001.5630944,27
1710974011.5710201,25
1710974021.579055,31
1710974031.5870466,30
1710974041.5972655,26
1710974051.6075106,28
1710974061.6177897,34
1710974071.6280878,22
1710974081.638357,27
