Time,PM25,PM10,Temperature,Humidity,Pressure
1707954769.8802981,0,0,33.9024609375,100,690.817393097857
1707954770.8922806,0,0,24.3727734375,47.72761418743293,1004.892996173217
1707954771.903501,0,0,24.301875,47.61037009488226,1004.8915305222237
1707954772.914778,0,0,24.2536328125,47.45987080556902,1004.8906773977172
1707954773.925971,0,0,24.2212109375,47.30543596526869,1004.8862304342174
1707954774.9372923,0,0,24.20109375,47.17669309570412,1004.8828249811942
1707954775.9496896,0,0,24.188203125,47.02490328524778,1004.8859993386635
1707954776.9629552,0,0,24.1801953125,46.92185624013681,1004.8884933886399
1707954777.9762328,0,0,24.177265625,46.84948474137856,1004.8768305387431
1707954778.9903798,0,0,24.177265625,46.813487706994216,1004.8785548997844
1707954780.0034416,0,0,24.178828125,46.77768706063538,1004.8586796943606
1707954781.014599,0,0,24.18078125,46.72395237677217,1004.842888489392
1707954782.025742,0,0,24.181953125,46.6641457460237,1004.8189290052538
1707954783.0369272,0,0,24.1891796875,46.62905855250507,1004.7996438709564
1707954784.0481641,0,0,24.1973828125,46.65402093306815,1004.7905684048363
1707954785.0595493,0,0,24.201484375,46.660509762528946,1004.7851682650389
1707954786.0727134,0,0,24.203046875,46.630731756324266,1004.7963316161621
1707954787.0860019,0,0,24.2034375,46.57685187291135,1004.8280066049505
1707954788.0997565,0,0,24.2040234375,46.51103429857966,1004.8496527580879
1707954789.1130624,0,0,24.2067578125,46.451486517633846,1004.8558246157784
1707954790.126344,0,0,24.2122265625,46.4581313134408,1004.8595461271259
1707954791.1396515,0,0,24.2204296875,46.56691867976365,1004.8659904995448
1707954792.1529415,0,0,24.2282421875,46.73568522728583,1004.8717993951766
1707954793.166043,0,0,24.2333203125,46.910289714053235,1004.8662627592383
1707954794.1793792,0,0,24.238203125,47.079038751481306,1004.865581824136
1707954795.1925497,0,0,24.2423046875,47.22380181937038,1004.8636301230057
1707954796.2054873,0,0,24.24640625,47.374704562291086,1004.8634028654726
1707954797.2193015,0,0,24.24953125,47.519595169580064,1004.8684854402735
1707954798.2342093,0,0,24.253046875,47.64054129119645,1004.8690296612069
1707954799.2488494,0,0,24.2551953125,47.73727711720734,1004.8707993552854
