Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707956877.6955924,1,1,33.5579296875,120225,100,727.2400301349277,2711.43126153036
1707956878.7513063,1,1,23.825703125,17430,43.860891772931545,1005.1085673774926,68.00456279014547
1707956879.7624497,1,1,23.8565625,21727,43.780438953336024,1005.113853040267,67.9602677265496
1707956880.773615,0,0,23.8909375,28715,43.64047843006783,1005.1125301836719,67.9713535498397
1707956881.7848122,0,0,23.9219921875,34977,43.494255143686416,1005.1146441452807,67.95363810173002
1707956882.7982042,0,0,23.949921875,40877,43.36574245133739,1005.1257122258871,67.8608857235619
1707956883.812915,0,0,23.9719921875,48749,43.23665392120585,1005.1205938335488,67.90377860995729
1707956884.8262646,0,0,23.9891796875,54441,43.13698169342954,1005.1216602227673,67.89484209567227
1707956885.8404408,0,0,24.005,59717,43.03720966070495,1005.1205693554316,67.90398374063147
1707956886.8538198,0,0,24.018671875,64244,42.949189022307976,1005.1126174080721,67.97062259020828
1707956887.867229,0,0,24.030390625,68648,42.872924700120535,1005.1067925436371,68.01943634629949
1707956888.8806012,0,0,24.0399609375,72727,42.79048678711325,1005.1062593572265,68.0239045872917
1707956889.893968,0,0,24.0489453125,76450,42.74975478602562,1005.0995935886152,68.07976562638936
1707956890.907458,0,0,24.05578125,80134,42.69090751555901,1005.0982200800994,68.09127605614358
1707956891.9209287,0,0,24.0626171875,83002,42.64995649233982,1005.0899018887415,68.16098536626477
1707956892.935526,0,0,24.0684765625,86252,42.60890518497316,1005.0887241426042,68.1708553225127
1707956893.9467568,0,0,24.073359375,88950,42.573710247541435,1005.0860064150298,68.19363093899332
1707956894.9579566,0,0,24.0774609375,91919,42.54439011811678,1005.0872651574653,68.18308218050917
1707956895.9691374,0,0,24.081953125,97054,42.503210041616946,1005.0908759212298,68.15282261420033
1707956896.9803965,0,0,24.08546875,99073,42.47978915981592,1005.0964191952806,68.10636805190963
1707956897.9915996,0,0,24.088984375,101410,42.450419016971,1005.0967539296706,68.1035628680781
1707956899.0049706,0,0,24.0907421875,104105,42.426808445242976,1005.1012617433944,68.06578598617672
1707956900.0183725,0,0,24.0925,106303,42.40320111879607,1005.0988248035163,68.08620828372908
1707956901.031719,0,0,24.0946484375,108328,42.391540613429946,1005.0970037496227,68.10146929554315
1707956902.0450404,0,0,24.096796875,110779,42.36798174963593,1005.1090722836628,68.00033155275162
1707956903.058452,0,0,24.0981640625,112261,42.33839042197412,1005.1147004119405,67.95316657556063
1707956904.071673,0,0,24.0981640625,114226,42.35028743081877,1005.1094917917217,67.99681597376043
1707956905.0865858,0,0,24.09875,115726,42.33250767881516,1005.1086794599515,68.00362351153161
1707956906.100925,0,0,24.099140625,117578,42.320655554593024,1005.1092953765468,67.99846198027839
