Time,Counts per Interval
1710975367.2035155,2
1710975377.2138443,3
1710975387.2241344,10
1710975397.2344122,5
1710975407.2447069,2
1710975417.254897,4
1710975427.2652137,5
1710975437.2754376,9
1710975447.2857172,7
1710975457.2950597,0
1710975467.3052979,10
1710975477.3154922,2
