Time,Counts per Interval
1710974659.6365993,4
1710974669.6469033,7
1710974679.6572263,2
1710974689.6674578,7
1710974699.6776392,6
1710974709.6878533,9
1710974719.6981266,6
1710974729.7083964,5
1710974739.7186642,5
1710974749.7288873,5
1710974759.7390387,12
1710974769.749304,8
