Time,Counts per Interval
1710975753.2470372,121
1710975763.2573447,144
1710975773.2676215,130
1710975783.2778254,135
1710975793.2870705,116
1710975803.2920456,131
1710975813.299032,127
1710975823.3092318,129
1710975833.3189993,139
1710975843.3291512,125
1710975853.3393085,125
1710975863.3494785,88
