Time,Counts per Interval
1710975949.5902095,36
1710975959.600539,26
1710975969.6108193,10
1710975979.621142,28
1710975989.6314232,15
1710975999.6416793,22
1710976009.6519592,18
1710976019.6622047,13
1710976029.672437,18
1710976039.6750355,16
1710976049.6852875,27
1710976059.6955402,19
