Time,Counts per Interval
1710974873.1027675,11
1710974883.1131084,15
1710974893.123391,14
1710974903.1336803,7
1710974913.1439767,4
1710974923.1543033,9
1710974933.163059,7
1710974943.1733384,9
1710974953.18363,11
1710974963.1939096,25
1710974973.2041986,12
1710974983.214509,19
