Time,Counts per Interval
1710975012.8365436,7
1710975022.8450375,11
1710975032.8550189,9
1710975042.865174,10
1710975052.8753264,12
1710975062.8855088,8
1710975072.8957589,2
1710975082.9059935,8
1710975092.9070487,5
1710975102.9150136,9
1710975112.9252045,8
1710975122.9354224,6
