Time,Counts per Interval
1710974295.375461,14
1710974305.3857756,16
1710974315.3960197,10
1710974325.4062078,16
1710974335.4164824,17
1710974345.4230754,14
1710974355.4296043,22
1710974365.4300656,15
1710974375.4403214,24
1710974385.4505143,11
1710974395.4550261,14
1710974405.4653225,15
