Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1713394547.74,0,0,33.5,2.0,3.0,4.0,26.77453125,42.934484770763675,1004.0022789885452,77.27966636233622,472810.0
1713394549.72,0,0,44.5,2.0,3.0,4.0,26.87482421875,42.725866011319866,1004.0190264516001,77.13919425764362,477821.0
1713394551.73,0,0,44.5,2.0,3.0,4.0,26.9534375,42.5294218786979,1004.0266175331396,77.07552335813045,480699.0
1713394553.71,0,0,35.0,2.0,3.0,4.0,27.01046875,42.35381302503555,1004.0371418213338,76.98725066034174,485527.0
1713394555.75,0,0,35.5,1.5,2.5,3.0,27.05568359375,42.23187585389945,1004.0338073721084,77.01521834350314,488868.0
1713394557.72,0,0,28.0,1.5,2.5,3.0,27.095234375,42.118023792327236,1004.0320310489382,77.03011727950707,498948.0
1713394559.72,0,0,36.5,1.0,2.0,2.0,27.095234375,42.118023792327236,1004.0320310489382,77.03011727950707,498948.0
1713394561.71,0,0,36.5,1.0,2.0,2.0,27.12873046875,42.04104661179127,1004.0226549842214,77.10875952509181,501919.5
1713394563.74,0,0,33.0,1.0,3.0,5.0,27.15607421875,41.96916638368309,1004.0148751249261,77.17401404284894,503030.5
1713394565.71,0,0,37.0,1.0,3.0,5.0,27.1805859375,41.91140402705908,1004.0117046903088,77.20060647860791,503964.5
1713394567.74,0,0,31.5,1.0,3.0,5.0,27.20431640625,41.89391864225115,1004.0123269540193,77.19538711285264,507745.0
1713394569.73,0,0,32.0,1.0,3.0,5.0,27.22697265625,41.88496017920065,1004.0119979151023,77.19814701007039,511019.5
1713394571.74,0,0,32.0,1.0,3.0,5.0,27.2481640625,41.86718856227508,1004.0083618714459,77.22864492484189,511197.0
1713394573.72,0,0,34.5,1.0,3.0,5.0,27.269453125,41.8955479849815,1004.0023346319442,77.27919962241884,513718.0
1713394575.74,0,0,36.5,1.0,3.0,5.0,27.28849609375,41.96691611926498,1003.9976477433024,77.31851198917542,515478.5
1713394577.71,0,0,39.0,1.0,3.0,5.0,27.30744140625,42.02965144494607,1003.9961988796292,77.33066472168143,517845.0
1713394579.73,0,0,39.0,1.0,3.0,5.0,27.324335937500003,42.09506638613204,1003.9896114141598,77.38591896006204,518055.5
1713394581.71,0,0,42.5,1.0,3.0,5.0,27.34181640625,42.203899771788045,1003.9874074532243,77.40440537805537,517650.5
1713394583.74,0,0,32.5,0.0,2.0,4.0,27.36125,42.318813700488,1003.9893244200312,77.38832622353354,520837.5
1713394585.72,0,0,32.5,0.0,2.0,4.0,27.378828125,42.430707138502285,1003.9983438056154,77.31267360419173,516266.0
1713394587.74,0,0,34.0,0.5,2.5,4.5,27.396015625,42.49343402650927,1003.99479393808,77.3424490348267,519836.0
1713394589.69,0,0,34.0,0.5,2.5,4.5,27.41388671875,42.492594815229765,1003.9932385659215,77.35549515299923,520042.5
1713394591.74,0,0,33.0,1.0,3.0,5.0,27.43107421875,42.48299608349325,1003.995643063051,77.33532682572269,518045.0
1713394593.71,0,0,36.0,1.0,3.0,5.0,27.447578125,42.46174529291342,1003.9934971529149,77.35332617959045,521034.0
1713394595.75,0,0,36.0,1.0,3.0,5.0,27.46486328125,42.434800300248526,1003.995211650977,77.33894535351152,521035.0
1713394597.73,0,0,31.0,1.0,3.0,5.0,27.4809765625,42.38747768991354,1003.9881533807286,77.39814868379895,525096.0
1713394599.72,0,0,31.0,1.0,3.0,5.0,27.49728515625,42.31994888849194,1003.9941877409242,77.3475337196652,524263.0
1713394601.72,0,0,35.0,1.0,3.0,5.0,27.514277343750003,42.240961869615504,1004.0064729370015,77.24448870730163,524466.5
1713394603.74,0,0,41.5,1.0,3.0,5.0,27.52970703125,42.16760860782479,1004.0059266902069,77.24907049376955,528562.5
1713394605.72,0,0,38.0,1.0,3.0,5.0,27.54650390625,42.15219788024251,1004.0102224622069,77.21303888229406,530634.0
1713394607.73,0,0,38.0,1.0,3.0,5.0,27.56349609375,42.26683662624759,1004.0148442766798,77.174272697578,532099.0
1713394609.69,0,0,36.0,1.0,3.0,5.0,27.56349609375,42.26683662624759,1004.0148442766798,77.174272697578,532099.0
1713394611.75,0,0,46.0,1.0,3.0,6.0,27.5782421875,42.43626566385704,1004.0097450623166,77.21704315641801,533352.0
1713394613.72,0,0,35.0,1.0,3.0,6.0,27.59201171875,42.59706771025849,1004.0106706756955,77.20927942378734,533148.0
1713394615.75,0,0,31.0,1.0,3.0,5.5,27.60548828125,42.71451508859843,1004.0085510618985,77.22705803709283,532513.0
1713394617.71,0,0,31.0,1.0,3.0,5.5,27.6204296875,42.83512316722668,1004.0131399270317,77.18856817612291,536322.0
1713394619.74,0,0,34.5,1.0,3.0,5.0,27.63458984375,42.9615365363533,1004.0104605899425,77.21104155799192,534194.0
1713394621.72,0,0,36.0,1.0,3.0,5.0,27.64767578125,43.17801883143905,1004.0093868671954,77.22004758340537,538248.5
1713394623.75,0,0,39.5,1.0,3.0,3.0,27.660273437500003,43.43252998218672,1004.0109001216961,77.20735490980351,538659.5
1713394625.73,0,0,37.0,1.0,3.0,3.0,27.671894531249997,43.43680202736304,1004.0090748226683,77.22266490226296,538018.0
1713394627.72,0,0,37.0,1.0,2.5,2.5,27.68205078125,43.30413704559871,1004.0167154239209,77.1585782098318,537820.5
1713394629.72,0,0,33.5,1.0,2.5,2.5,27.692890624999997,43.12515587057338,1004.013580925502,77.18486924889703,544289.0
1713394631.74,0,0,34.5,1.0,2.0,2.0,27.70294921875,42.91723439086627,1004.0082863376253,77.22927846231633,540378.0
