Time,Pm25,Pm100,Temp,Gas,Humidity,Pressure,Altitude
1707957390.053833,0,0,33.5579296875,236730,100,727.2400301349277,2711.43126153036
1707957391.1347883,0,0,24.594453125,22689,42.32847956162674,1005.2717638419199,66.6370260525918
1707957392.1459978,1,1,24.623359375,29622,42.23650809717936,1005.244340352423,66.86681398805997
1707957393.1571994,1,1,24.657734375,37252,42.109519031717305,1005.2290036917757,66.99532572535175
1707957394.1685264,1,1,24.692890625,45424,41.964881859267194,1005.2131533855953,67.12814316296631
1707957395.1818662,1,1,24.725703125,56176,41.855710850419975,1005.2144575685871,67.11721471427016
1707957396.196968,1,1,24.754609375,64151,41.758034321320025,1005.2026507503426,67.21615079461856
1707957397.2103593,1,1,24.7805859375,72014,41.654153541243495,1005.2018657079489,67.2227291470287
1707957398.2237258,1,1,24.8063671875,79484,41.58586921919487,1005.1903413687455,67.31929914249348
1707957399.2373898,1,1,24.82765625,85915,41.511186749261796,1005.1873796831992,67.34411719266251
1707957400.2485514,1,1,24.850703125,91348,41.45449593395465,1005.1854467057949,67.36031500435165
1707957401.259854,1,1,24.87375,99408,41.563695904196145,1005.1852494885272,67.36196763148025
1707957402.271219,1,1,24.8878125,105161,41.64825610200295,1005.17437408046,67.45310100338142
1707957403.2826047,1,1,24.8993359375,110571,41.62581481684003,1005.1681895006567,67.50492668941598
1707957404.2960687,0,0,24.910078125,115046,41.573647861320815,1005.1625118777063,67.55250439390777
1707957405.3069828,0,0,24.915546875,119654,41.526838094789255,1005.1624341883845,67.55315542131385
1707957406.319725,0,0,24.917109375,123858,41.43814303380775,1005.152726716789,67.63450321595856
1707957407.3310602,0,0,24.9110546875,128556,41.35457473299305,1005.160573398997,67.56874863043342
1707957408.3424144,0,0,24.8942578125,132221,41.25803425427839,1005.1567138339276,67.6010914330561
1707957409.3539195,0,0,24.878046875,135681,41.15570741088839,1005.1416082675739,67.72767566580151
1707957410.3653808,0,0,24.8614453125,138127,41.106592474490064,1005.1397928025341,67.7428893168496
1707957411.3768678,0,0,24.843671875,141113,41.06327503946481,1005.1378683757373,67.7590160949543
1707957412.388409,0,0,24.8208203125,143409,41.03122966640027,1005.140109955686,67.74023156239384
1707957413.3999503,0,0,24.795625,145301,41.016655557895334,1005.1386567951304,67.7524091040044
1707957414.411509,0,0,24.770234375,148484,40.99615708788038,1005.1438451705154,67.70893038319421
1707957415.4249365,0,0,24.742890625,150512,41.01678783761263,1005.1424773243878,67.72039295171783
1707957416.4366112,0,0,24.715546875,152862,41.03742007050705,1005.1341548856907,67.79013536957272
1707957417.4477801,0,0,24.6841015625,154470,41.057604625677385,1005.1350073767733,67.78299143372226
1707957418.4589064,0,0,24.64484375,157789,41.01787016724202,1005.1339715433501,67.79167179205781
1707957419.47006,0,0,24.6012890625,160665,40.92455802546651,1005.1348458927258,67.7843446811349
1707957420.4833272,0,0,24.55265625,162144,40.82486174291765,1005.1363963851883,67.77135145500515
1707957421.496655,0,0,24.49875,164106,40.71877609038366,1005.1278881123565,67.84265152603672
1707957422.509855,0,0,24.4434765625,166746,40.630298292936466,1005.1102650437064,67.99033593822801
1707957423.5231378,0,0,24.3837109375,169146,40.54728545827838,1005.0994467788339,68.08099593754072
1707957424.5364778,0,0,24.3221875,170620,40.49355795799553,1005.0945278092171,68.12221850088149
1707957425.5497012,0,0,24.2602734375,171616,40.45746294522982,1005.0941870269677,68.12507437288693
1707957426.5628793,0,0,24.1950390625,173304,40.43278784018929,1005.083385312675,68.21559684571123
1707957427.5762055,0,0,24.12921875,174678,40.42569869879167,1005.0803244238768,68.2412484008916
1707957428.5907032,0,0,24.06125,176780,40.441899391829274,1005.0790655837972,68.25179803665921
1707957429.604027,0,0,23.9868359375,178030,40.46916740368973,1005.0624150083247,68.39133821864827
1707957430.6174903,0,0,23.9063671875,179664,40.51342765011266,1005.0414022372055,68.56743846185418
1707957431.6307206,0,0,23.8253125,179116,40.54586828815894,1005.0385319611117,68.59149341291766
1707957432.6452947,0,0,23.739765625,179664,40.577828905892076,1005.0406941402081,68.57337281215392
1707957433.6601233,0,0,23.6489453125,190632,40.63275523778444,1005.0292990223761,68.66887237055454
1707957434.673848,0,0,23.5485546875,188865,40.68077695369254,1004.9975669687972,68.93481518885035
1707957435.6868517,0,0,23.4282421875,191157,40.726660700208434,1004.9673201975208,69.18831635022633
1707957436.6981418,0,0,23.3065625,191686,40.81360500213836,1004.9296603180004,69.50395613461178
1707957437.711474,0,0,23.1805859375,194156,40.90011288215571,1004.8851669864846,69.876881660604
1707957438.7234263,0,0,23.0628125,195360,41.01698864635078,1004.8431678524504,70.22891407551992
1707957439.7343001,0,0,22.9508984375,196023,41.14044797105379,1004.8121050849652,70.48928665695257
1707957440.7476134,0,0,22.8415234375,197138,41.26424579284116,1004.7815402485207,70.74549187045605
1707957441.7588086,0,0,22.7348828125,198266,41.41201630072834,1004.7587151440927,70.93682404281434
1707957442.770044,0,0,22.6204296875,199292,41.55903530190904,1004.7252420777824,71.21741946337926
1707957443.781236,0,0,22.5094921875,200213,41.70653192360439,1004.6816871267125,71.58253985701228
1707957444.7924533,0,0,22.39953125,201963,41.86014810161488,1004.6569516272772,71.78990282269669
1707957445.8036299,0,0,22.2899609375,201846,42.02575620648368,1004.6102797345839,72.18117450906705
1707957446.8148131,0,0,22.179609375,202672,42.16769871789185,1004.5709915135214,72.51055693065243
1707957447.826027,0,0,22.076875,204105,42.334288780445874,1004.5436974713621,72.73938935663834
